TestID,Approach,Subject,Run,GD,GDP,HV,GS,CI,UNFR,SP,CS,CSunique
1,OPAM,ESAIL,15,0.000174,0.000174,0.999754,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,16,0.000173,0.000173,0.999755,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,17,0.000172,0.000172,0.999757,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,18,0.000138,0.000138,0.999724,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,19,0.000101,0.000101,0.999752,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,20,0.000276,0.000276,0.999724,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,21,0.000181,0.000181,0.999744,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,22,0.000087,0.000087,0.999724,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,23,0.000502,0.000502,0.998877,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,24,0.000143,0.000143,0.999753,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,25,0.000118,0.000118,0.999736,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,26,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
1,OPAM,ESAIL,27,0.000109,0.000109,0.999755,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,28,0.000243,0.000243,0.999757,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,29,0.000203,0.000203,0.999713,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,30,0.000213,0.000213,0.999698,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,31,0.000155,0.000155,0.999731,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,32,0.000147,0.000147,0.999745,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,33,0.000077,0.000077,0.999757,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,34,0.149512,0.149512,0.999673,0.166890,0.000000,0.000000,0.158897,0.000000,0.000000
1,OPAM,ESAIL,35,0.000141,0.000141,0.999755,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,36,0.000122,0.000122,0.999656,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,37,0.000141,0.000141,0.999755,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,38,0.184615,0.184615,0.999694,0.000133,0.000000,0.000000,0.412823,0.000000,0.000000
1,OPAM,ESAIL,39,0.000122,0.000122,0.999757,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,40,0.000080,0.000080,0.999748,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,41,0.001123,0.001123,0.998877,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,42,0.000271,0.000271,0.999729,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,43,0.000174,0.000174,0.999754,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,44,0.000077,0.000077,0.999757,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,45,0.000286,0.000286,0.999714,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,46,0.000122,0.000122,0.999757,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,47,0.000166,0.000166,0.999713,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,48,0.000245,0.000245,0.999755,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,49,0.000382,0.000382,0.998855,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,50,0.333333,0.333333,0.999558,0.000294,0.000000,0.000000,0.577430,0.000000,0.000000
1,RS,ESAIL,1,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,RS,ESAIL,2,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,RS,ESAIL,3,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,RS,ESAIL,4,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,RS,ESAIL,5,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,RS,ESAIL,6,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,RS,ESAIL,7,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,RS,ESAIL,8,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,RS,ESAIL,9,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,RS,ESAIL,10,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,RS,ESAIL,11,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,RS,ESAIL,12,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,RS,ESAIL,13,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,RS,ESAIL,14,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,RS,ESAIL,15,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,RS,ESAIL,16,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,RS,ESAIL,17,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,RS,ESAIL,18,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,RS,ESAIL,19,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,RS,ESAIL,20,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,RS,ESAIL,21,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,RS,ESAIL,22,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,RS,ESAIL,23,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,RS,ESAIL,24,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,RS,ESAIL,25,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,RS,ESAIL,26,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,RS,ESAIL,27,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,RS,ESAIL,28,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,RS,ESAIL,29,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,RS,ESAIL,30,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,RS,ESAIL,31,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,RS,ESAIL,32,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,RS,ESAIL,33,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,RS,ESAIL,34,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,RS,ESAIL,35,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
