Approach,Subject,Run,GD,GDP,HV,GS,CI,UNFR,SP,CS,CSunique
OPAM,ESAIL,31,0.000101,0.000101,0.999824,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,32,0.000036,0.000036,0.999937,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,33,0.000002,0.000002,0.999993,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,34,0.149512,0.149512,0.999714,0.166866,0.000000,0.000000,0.158895,0.000000,0.000000
OPAM,ESAIL,35,0.000097,0.000097,0.999831,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,36,0.000154,0.000154,0.999565,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,37,0.000016,0.000016,0.999972,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,38,0.184615,0.184615,0.999815,0.000082,0.000000,0.000000,0.412841,0.000000,0.000000
OPAM,ESAIL,39,0.000018,0.000018,0.999965,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,40,0.000013,0.000013,0.999958,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,41,0.000864,0.000864,0.999136,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,42,0.000077,0.000077,0.999923,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,43,0.000015,0.000015,0.999979,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,44,0.000002,0.000002,0.999993,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,45,0.000049,0.000049,0.999951,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,46,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ESAIL,47,0.000182,0.000182,0.999684,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,48,0.000098,0.000098,0.999902,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,49,0.000325,0.000325,0.999024,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,50,0.333333,0.333333,0.999712,0.000192,0.000000,0.000000,0.577387,0.000000,0.000000
RS,ESAIL,1,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,2,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,3,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,4,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,5,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,6,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,7,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,8,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,9,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,10,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,11,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,12,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,13,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,14,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,15,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,16,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,17,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,18,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,19,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,20,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,21,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,22,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,23,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,24,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,25,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,26,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,27,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,28,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,29,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,30,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,31,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,32,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,33,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,34,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,35,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,36,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,37,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,38,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,39,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,40,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,41,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,42,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,43,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,44,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,45,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,46,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,47,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,48,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,49,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RS,ESAIL,50,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,GAP,1,0.008288,0.007363,0.881985,0.528825,0.000000,0.000000,0.044742,0.000000,0.000000
OPAM,GAP,2,0.007756,0.007216,0.886007,0.252470,0.009615,0.020408,0.024967,0.019231,0.020408
OPAM,GAP,3,0.008123,0.006849,0.884927,0.207361,0.000000,0.000000,0.056460,0.000000,0.000000
OPAM,GAP,4,0.006326,0.004799,0.886726,0.261802,0.019231,0.040816,0.036127,0.038462,0.040816
OPAM,GAP,5,0.007035,0.003502,0.892445,0.376585,0.019231,0.040816,0.038057,0.038462,0.040816
OPAM,GAP,6,0.006292,0.004546,0.885213,0.291075,0.000000,0.000000,0.045565,0.000000,0.000000
OPAM,GAP,7,0.006360,0.006183,0.889727,0.317148,0.009615,0.020408,0.033571,0.019231,0.020408
OPAM,GAP,8,0.006874,0.006524,0.882209,0.446552,0.009615,0.020408,0.034371,0.019231,0.020408
OPAM,GAP,9,0.007029,0.006172,0.876461,0.373060,0.009615,0.020408,0.058467,0.019231,0.020408
OPAM,GAP,10,0.008736,0.006283,0.885418,0.356862,0.000000,0.000000,0.032119,0.000000,0.000000
OPAM,GAP,11,0.008168,0.007767,0.873745,0.303640,0.000000,0.000000,0.063608,0.000000,0.000000
OPAM,GAP,12,0.005576,0.005381,0.886509,0.331354,0.009615,0.020408,0.027243,0.019231,0.020408
OPAM,GAP,13,0.005577,0.004978,0.887316,0.360272,0.038462,0.061224,0.062036,0.076923,0.061224
OPAM,GAP,14,0.007140,0.005724,0.889462,0.163879,0.028846,0.040816,0.053485,0.057692,0.040816
OPAM,GAP,15,0.008286,0.005359,0.882457,0.296161,0.009615,0.020408,0.026269,0.019231,0.020408
OPAM,GAP,16,0.008060,0.005807,0.885094,0.611043,0.019231,0.040816,0.064851,0.038462,0.040816
OPAM,GAP,17,0.009936,0.007284,0.888675,0.404875,0.019231,0.040816,0.047027,0.038462,0.040816
OPAM,GAP,18,0.008708,0.006731,0.884145,0.232671,0.009615,0.020408,0.029061,0.019231,0.020408
OPAM,GAP,19,0.003799,0.003457,0.888799,0.460457,0.009615,0.020408,0.034533,0.019231,0.020408
OPAM,GAP,20,0.009224,0.007351,0.883110,0.354874,0.000000,0.000000,0.038768,0.000000,0.000000
OPAM,GAP,21,0.011202,0.010969,0.873206,0.414145,0.009615,0.020408,0.071992,0.019231,0.020408
OPAM,GAP,22,0.006631,0.006330,0.881885,0.330191,0.000000,0.000000,0.064107,0.000000,0.000000
OPAM,GAP,23,0.006500,0.006170,0.882300,0.451421,0.000000,0.000000,0.035735,0.000000,0.000000
