Subject,Approach,Cycle,Run,GD,HV,Spread
CCS,COEVOL,1000,42,0.012657,0.828782,0.762658
CCS,COEVOL,1000,43,0.014699,0.796778,0.720938
CCS,COEVOL,1000,44,0.023200,0.818368,0.583787
CCS,COEVOL,1000,45,0.008621,0.829628,0.790855
CCS,COEVOL,1000,46,0.034453,0.778203,0.760362
CCS,COEVOL,1000,47,0.016536,0.816569,0.568293
CCS,COEVOL,1000,48,0.024920,0.802581,0.662760
CCS,COEVOL,1000,49,0.017721,0.806334,0.752244
CCS,COEVOL,1000,50,0.016964,0.815246,0.703031
ESAIL,RS,1000,1,0.734453,0.043452,0.619465
ESAIL,RS,1000,2,1.000000,0.000000,1.000000
ESAIL,RS,1000,3,0.724032,0.067274,0.557649
ESAIL,RS,1000,4,1.000000,0.000000,1.000000
ESAIL,RS,1000,5,0.590319,0.337185,0.369465
ESAIL,RS,1000,6,1.000000,0.000000,1.000000
ESAIL,RS,1000,7,0.635264,0.193015,0.423141
ESAIL,RS,1000,8,0.660673,0.151015,0.562654
ESAIL,RS,1000,9,0.604633,0.271625,0.432125
ESAIL,RS,1000,10,0.751531,0.042526,0.554368
ESAIL,RS,1000,11,1.000000,0.000000,1.000000
ESAIL,RS,1000,12,0.709500,0.074166,0.519251
ESAIL,RS,1000,13,1.000000,0.000000,1.000000
ESAIL,RS,1000,14,0.622273,0.229514,0.408013
ESAIL,RS,1000,15,1.000000,0.000000,1.000000
ESAIL,RS,1000,16,0.611896,0.029126,0.465725
ESAIL,RS,1000,17,1.000000,0.000000,1.000000
ESAIL,RS,1000,18,0.677229,0.094360,0.448129
ESAIL,RS,1000,19,0.505752,0.263551,0.636895
ESAIL,RS,1000,20,0.814822,0.008054,0.524997
ESAIL,RS,1000,21,0.553022,0.155722,0.803690
ESAIL,RS,1000,22,0.714048,0.077443,0.553210
ESAIL,RS,1000,23,1.000000,0.000000,1.000000
ESAIL,RS,1000,24,0.675821,0.127316,0.545423
ESAIL,RS,1000,25,1.000000,0.000000,1.000000
ESAIL,RS,1000,26,0.609663,0.259732,0.421192
ESAIL,RS,1000,27,0.670093,0.110299,0.445835
ESAIL,RS,1000,28,0.625596,0.027239,0.597393
ESAIL,RS,1000,29,0.614368,0.260164,0.388454
ESAIL,RS,1000,30,1.000000,0.000000,1.000000
ESAIL,RS,1000,31,1.000000,0.000000,1.000000
ESAIL,RS,1000,32,1.000000,0.000000,1.000000
ESAIL,RS,1000,33,0.811469,0.009076,0.528002
ESAIL,RS,1000,34,1.000000,0.000000,1.000000
ESAIL,RS,1000,35,1.000000,0.000000,1.000000
ESAIL,RS,1000,36,1.000000,0.000000,1.000000
ESAIL,RS,1000,37,1.000000,0.000000,1.000000
ESAIL,RS,1000,38,1.000000,0.000000,1.000000
ESAIL,RS,1000,39,0.546614,0.490916,0.323974
ESAIL,RS,1000,40,0.632959,0.202327,0.483866
ESAIL,RS,1000,41,1.000000,0.000000,1.000000
ESAIL,RS,1000,42,0.496954,0.292061,0.736350
ESAIL,RS,1000,43,0.642931,0.174823,0.442547
ESAIL,RS,1000,44,0.700963,0.086019,0.618654
ESAIL,RS,1000,45,1.000000,0.000000,1.000000
ESAIL,RS,1000,46,1.000000,0.000000,1.000000
ESAIL,RS,1000,47,1.000000,0.000000,1.000000
ESAIL,RS,1000,48,0.635012,0.197028,0.587347
ESAIL,RS,1000,49,1.000000,0.000000,1.000000
ESAIL,RS,1000,50,0.719208,0.072127,0.568963
ESAIL,COEVOL,1000,1,0.000005,0.999993,1.000000
ESAIL,COEVOL,1000,2,0.000053,0.999909,1.000000
ESAIL,COEVOL,1000,3,0.093245,0.999702,0.001135
ESAIL,COEVOL,1000,4,0.000000,1.000000,1.000000
ESAIL,COEVOL,1000,5,0.000000,1.000000,1.000000
ESAIL,COEVOL,1000,6,0.000482,0.998476,1.000000
ESAIL,COEVOL,1000,7,0.000889,0.998743,1.000000
ESAIL,COEVOL,1000,8,0.000007,0.999993,1.000000
ESAIL,COEVOL,1000,9,0.092350,0.999977,0.131676
ESAIL,COEVOL,1000,10,0.000025,0.999944,1.000000
ESAIL,COEVOL,1000,11,0.000807,0.999193,1.000000
ESAIL,COEVOL,1000,12,0.000169,0.999831,1.000000
ESAIL,COEVOL,1000,13,0.000302,0.999698,1.000000
ESAIL,COEVOL,1000,14,0.000049,0.999951,1.000000
ESAIL,COEVOL,1000,15,0.000631,0.999108,1.000000
ESAIL,COEVOL,1000,16,0.000130,0.999740,1.000000
ESAIL,COEVOL,1000,17,0.000020,0.999972,1.000000
ESAIL,COEVOL,1000,18,0.000102,0.999796,1.000000
ESAIL,COEVOL,1000,19,0.068767,0.999979,0.311160
ESAIL,COEVOL,1000,20,0.000010,0.999972,1.000000
ESAIL,COEVOL,1000,21,0.000020,0.999965,1.000000
ESAIL,COEVOL,1000,22,0.000028,0.999972,1.000000
ESAIL,COEVOL,1000,23,0.000050,0.999930,1.000000
ESAIL,COEVOL,1000,24,0.000008,0.999986,1.000000
ESAIL,COEVOL,1000,25,0.000105,0.999895,1.000000
ESAIL,COEVOL,1000,26,0.000000,1.000000,1.000000
ESAIL,COEVOL,1000,27,0.000065,0.999909,1.000000
ESAIL,COEVOL,1000,28,0.000197,0.999803,1.000000
ESAIL,COEVOL,1000,29,0.000462,0.999347,1.000000
ESAIL,COEVOL,1000,30,0.000007,0.999993,1.000000
ESAIL,COEVOL,1000,31,0.000789,0.998884,1.000000
ESAIL,COEVOL,1000,32,0.000016,0.999958,1.000000
ESAIL,COEVOL,1000,33,0.000064,0.999796,1.000000
ESAIL,COEVOL,1000,34,0.000807,0.998603,1.000000
ESAIL,COEVOL,1000,35,0.000913,0.999087,1.000000
ESAIL,COEVOL,1000,36,0.000003,0.999993,1.000000
ESAIL,COEVOL,1000,37,0.001173,0.998827,1.000000
ESAIL,COEVOL,1000,38,0.000020,0.999972,1.000000
ESAIL,COEVOL,1000,39,0.000009,0.999972,1.000000
ESAIL,COEVOL,1000,40,0.000015,0.999979,1.000000
ESAIL,COEVOL,1000,41,0.000130,0.999775,1.000000
ESAIL,COEVOL,1000,42,0.000053,0.999909,1.000000
ESAIL,COEVOL,1000,43,0.000013,0.999965,1.000000
ESAIL,COEVOL,1000,44,0.000000,1.000000,1.000000
ESAIL,COEVOL,1000,45,0.000007,0.999993,1.000000
ESAIL,COEVOL,1000,46,0.000233,0.999670,1.000000
ESAIL,COEVOL,1000,47,0.000105,0.999895,1.000000
ESAIL,COEVOL,1000,48,0.000274,0.999726,1.000000
ESAIL,COEVOL,1000,49,0.000021,0.999979,1.000000
ESAIL,COEVOL,1000,50,0.000028,0.999972,1.000000
GAP,RS,1000,1,0.102161,0.637672,0.546972
GAP,RS,1000,2,0.105422,0.603139,0.663719
GAP,RS,1000,3,0.080128,0.652150,0.749665
GAP,RS,1000,4,0.068951,0.600728,0.622578
GAP,RS,1000,5,0.079806,0.593544,0.615312
GAP,RS,1000,6,0.106663,0.612294,0.539209
GAP,RS,1000,7,0.082697,0.581711,0.549495
GAP,RS,1000,8,0.108264,0.616842,0.762152
GAP,RS,1000,9,0.110340,0.613854,0.477878
GAP,RS,1000,10,0.093164,0.618320,0.669573
GAP,RS,1000,11,0.057473,0.662189,0.598763
GAP,RS,1000,12,0.086831,0.638041,0.542694
GAP,RS,1000,13,0.101816,0.599720,0.803740
GAP,RS,1000,14,0.083672,0.629027,0.623424
GAP,RS,1000,15,0.101441,0.586714,0.471374
GAP,RS,1000,16,0.086750,0.638681,0.434318
GAP,RS,1000,17,0.096978,0.576319,0.697779
GAP,RS,1000,18,0.081403,0.645218,0.470782
GAP,RS,1000,19,0.092792,0.630339,0.588623
GAP,RS,1000,20,0.088995,0.634697,0.567099
GAP,RS,1000,21,0.109796,0.604853,0.468574
GAP,RS,1000,22,0.068990,0.613219,0.483597
GAP,RS,1000,23,0.083551,0.598442,0.563754
GAP,RS,1000,24,0.059669,0.633680,0.592556
GAP,RS,1000,25,0.073240,0.625282,0.555205
GAP,RS,1000,26,0.090872,0.633778,0.485090
GAP,RS,1000,27,0.067290,0.665629,0.704395
GAP,RS,1000,28,0.100699,0.620141,0.769808
GAP,RS,1000,29,0.078882,0.619714,0.759117
GAP,RS,1000,30,0.069490,0.651032,0.458159
GAP,RS,1000,31,0.064944,0.627201,0.631520
GAP,RS,1000,32,0.070060,0.649716,0.618988
GAP,RS,1000,33,0.083876,0.613659,0.549819
GAP,RS,1000,34,0.079787,0.642534,0.572659
GAP,RS,1000,35,0.102467,0.655594,0.877457
GAP,RS,1000,36,0.074878,0.617369,0.576835
GAP,RS,1000,37,0.076108,0.622188,0.603357
GAP,RS,1000,38,0.121041,0.593153,0.555293
GAP,RS,1000,39,0.077505,0.632353,0.608145
GAP,RS,1000,40,0.084468,0.629947,0.558283
GAP,RS,1000,41,0.091392,0.560501,0.561095
GAP,RS,1000,42,0.078676,0.633900,0.712154
GAP,RS,1000,43,0.098704,0.641728,0.772273
GAP,RS,1000,44,0.060678,0.626411,0.453798
GAP,RS,1000,45,0.066074,0.600753,0.763055
GAP,RS,1000,46,0.057060,0.667362,0.583989
GAP,RS,1000,47,0.111450,0.620749,0.415973
GAP,RS,1000,48,0.100630,0.604876,0.571602
GAP,RS,1000,49,0.080628,0.635576,0.737207
GAP,RS,1000,50,0.096336,0.592640,0.627967
GAP,COEVOL,1000,1,0.016739,0.899269,0.381018
GAP,COEVOL,1000,2,0.018946,0.892424,0.422863
GAP,COEVOL,1000,3,0.017848,0.896924,0.210555
GAP,COEVOL,1000,4,0.021201,0.892671,0.415721
GAP,COEVOL,1000,5,0.020511,0.891137,0.274528
GAP,COEVOL,1000,6,0.020009,0.895114,0.325149
GAP,COEVOL,1000,7,0.019137,0.898177,0.440588
GAP,COEVOL,1000,8,0.018614,0.885066,0.164508
GAP,COEVOL,1000,9,0.019385,0.889800,0.328812
GAP,COEVOL,1000,10,0.016090,0.893075,0.503346
GAP,COEVOL,1000,11,0.015888,0.887687,0.449685
GAP,COEVOL,1000,12,0.015708,0.893475,0.368212
GAP,COEVOL,1000,13,0.015196,0.892078,0.436010
GAP,COEVOL,1000,14,0.019324,0.891301,0.456562
GAP,COEVOL,1000,15,0.016837,0.895228,0.384603
GAP,COEVOL,1000,16,0.018016,0.895379,0.323230
GAP,COEVOL,1000,17,0.014028,0.890899,0.330181
GAP,COEVOL,1000,18,0.014502,0.896648,0.486885
GAP,COEVOL,1000,19,0.015791,0.885831,0.357742
GAP,COEVOL,1000,20,0.019762,0.891771,0.243226
GAP,COEVOL,1000,21,0.016754,0.892630,0.291601
GAP,COEVOL,1000,22,0.019635,0.898078,0.349188
GAP,COEVOL,1000,23,0.018328,0.888919,0.425349
GAP,COEVOL,1000,24,0.022221,0.894522,0.462224
GAP,COEVOL,1000,25,0.017467,0.891406,0.505799
GAP,COEVOL,1000,26,0.018334,0.889343,0.197043
GAP,COEVOL,1000,27,0.020996,0.889724,0.361261
GAP,COEVOL,1000,28,0.017503,0.884932,0.463882
GAP,COEVOL,1000,29,0.017391,0.887592,0.435566
GAP,COEVOL,1000,30,0.016646,0.901219,0.337925
GAP,COEVOL,1000,31,0.016368,0.888666,0.310552
GAP,COEVOL,1000,32,0.020102,0.892498,0.447335
GAP,COEVOL,1000,33,0.017781,0.898261,0.260314
GAP,COEVOL,1000,34,0.013903,0.888467,0.266899
GAP,COEVOL,1000,35,0.013279,0.890604,0.529022
